id,secCode,secName,orgId,announcementId,announcementTitle,announcementTime,adjunctUrl,adjunctSize,adjunctType,storageTime,columnId,pageColumn,announcementType,associateAnnouncement,important,batchNum,announcementContent,orgName,tileSecName,shortTitle,announcementTypeName,secNameList
,000002,万  科Ａ,gssz0000002,1204519142,2017年年度报告摘要,1522080000000,finalpage/2018-03-27/1204519142.PDF,448,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,万  科Ａ,2017年年度报告摘要,,
,000002,万  科Ａ,gssz0000002,1204519141,2017年年度报告,1522080000000,finalpage/2018-03-27/1204519141.PDF,17085,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,,,,,,万  科Ａ,2017年年度报告,,
,000011,深物业A,gssz0000011,1205965131,2018年年度报告摘要,1553875200000,finalpage/2019-03-30/1205965131.PDF,282,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,深物业A,2018年年度报告摘要,,
,000011,深物业A,gssz0000011,1205965137,2018年年度报告,1553875200000,finalpage/2019-03-30/1205965137.PDF,4507,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,,,,,,深物业A,2018年年度报告,,
,000001,平安银行,gssz0000001,1209224370,2020年年度报告,1612195200000,finalpage/2021-02-02/1209224370.PDF,4914,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,,,,,,平安银行,2020年年度报告,,
,000001,平安银行,gssz0000001,1209224367,2020年年度报告摘要,1612195200000,finalpage/2021-02-02/1209224367.PDF,852,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,平安银行,2020年年度报告摘要,,
,000009,中国宝安,gssz0000009,1206164267,2018年年度报告摘要,1556553600000,finalpage/2019-04-30/1206164267.PDF,286,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,中国宝安,2018年年度报告摘要,,
,000009,中国宝安,gssz0000009,1206164272,2018年年度报告（已取消）,1556553600000,finalpage/2019-04-30/1206164272.PDF,8176,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,,,,,,中国宝安,2018年年度报告（已取消）,,
,000006,深振业Ａ,gssz0000006,1207467580,2019年年度报告摘要,1586361600000,finalpage/2020-04-09/1207467580.PDF,395,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,深振业Ａ,2019年年度报告摘要,,
,000006,深振业Ａ,gssz0000006,1207467581,2019年年度报告,1586361600000,finalpage/2020-04-09/1207467581.PDF,4085,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,,,,,,深振业Ａ,2019年年度报告,,
,000012,南  玻Ａ,gssz0000012,1202077505,2015年年度报告摘要,1458835200000,finalpage/2016-03-25/1202077505.PDF,400,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,南  玻Ａ,2015年年度报告摘要,,
,000012,南  玻Ａ,gssz0000012,1202077500,2015年年度报告,1458835200000,finalpage/2016-03-25/1202077500.PDF,1443,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,1202078678,,,,,南  玻Ａ,2015年年度报告,,
,000005,世纪星源,gssz0000005,1207852349,2019年年度报告摘要,1590163200000,finalpage/2020-05-23/1207852349.PDF,414,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,世纪星源,2019年年度报告摘要,,
,000005,世纪星源,gssz0000005,1207852350,2019年年度报告,1590163200000,finalpage/2020-05-23/1207852350.PDF,3118,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,,,,,,世纪星源,2019年年度报告,,
,000009,中国宝安,gssz0000009,1209867852,2020年年度报告（更新后）,1619712000000,finalpage/2021-04-30/1209867852.PDF,12013,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030140,,,,,,中国宝安,2020年年度报告（更新后）,,
,000009,中国宝安,gssz0000009,1209466145,2020年年度报告（已取消）,1616774400000,finalpage/2021-03-27/1209466145.PDF,11893,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,,,,,,中国宝安,2020年年度报告（已取消）,,
,000009,中国宝安,gssz0000009,1209466144,2020年年度报告摘要,1616774400000,finalpage/2021-03-27/1209466144.PDF,297,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,中国宝安,2020年年度报告摘要,,
,000001,平安银行,gssz0000001,1212533358,2021年年度报告摘要,1646841600000,finalpage/2022-03-10/1212533358.PDF,532,PDF,,09020202||250101||251302,SZZB,01010503||010112||010301,,,,,,平安银行,2021年年度报告摘要,,
,000001,平安银行,gssz0000001,1212533413,2021年年度报告,1646841600000,finalpage/2022-03-10/1212533413.PDF,4627,PDF,,09020202||250101||251302,SZZB,01010503||010112||010301,,,,,,平安银行,2021年年度报告,,
,000012,南  玻Ａ,gssz0000012,1203422630,2016年年度报告摘要（更新后）,1493395200000,finalpage/2017-04-29/1203422630.PDF,330,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030140,,,,,,南  玻Ａ,2016年年度报告摘要（更新后）,,
,000012,南  玻Ａ,gssz0000012,1203415339,2016年年度报告,1493308800000,finalpage/2017-04-28/1203415339.PDF,1518,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,,,,,,南  玻Ａ,2016年年度报告,,
,000012,南  玻Ａ,gssz0000012,1203415325,2016年年度报告摘要（已取消）,1493308800000,finalpage/2017-04-28/1203415325.PDF,317,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,南  玻Ａ,2016年年度报告摘要（已取消）,,
,000005,世纪星源,gssz0000005,1209866884,2020年年度报告摘要,1619712000000,finalpage/2021-04-30/1209866884.PDF,289,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,世纪星源,2020年年度报告摘要,,
,000005,世纪星源,gssz0000005,1209866901,2020年年度报告,1619712000000,finalpage/2021-04-30/1209866901.PDF,3087,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,,,,,,世纪星源,2020年年度报告,,
,000002,万  科Ａ,gssz0000002,1204519142,2017年年度报告摘要,1522080000000,finalpage/2018-03-27/1204519142.PDF,448,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,万  科Ａ,2017年年度报告摘要,,
,000002,万  科Ａ,gssz0000002,1204519141,2017年年度报告,1522080000000,finalpage/2018-03-27/1204519141.PDF,17085,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,,,,,,万  科Ａ,2017年年度报告,,
,000011,深物业A,gssz0000011,1205965131,2018年年度报告摘要,1553875200000,finalpage/2019-03-30/1205965131.PDF,282,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,深物业A,2018年年度报告摘要,,
,000011,深物业A,gssz0000011,1205965137,2018年年度报告,1553875200000,finalpage/2019-03-30/1205965137.PDF,4507,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,,,,,,深物业A,2018年年度报告,,
,000005,世纪星源,gssz0000005,1209866884,2020年年度报告摘要,1619712000000,finalpage/2021-04-30/1209866884.PDF,289,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,世纪星源,2020年年度报告摘要,,
,000005,世纪星源,gssz0000005,1209866901,2020年年度报告,1619712000000,finalpage/2021-04-30/1209866901.PDF,3087,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030101,,,,,,世纪星源,2020年年度报告,,
,000009,中国宝安,gssz0000009,1206164267,2018年年度报告摘要,1556553600000,finalpage/2019-04-30/1206164267.PDF,286,PDF,,09020202||250101||250102||251302,SZZB,01010503||010112||01030110,,,,,,中国宝安,2018年年度报告摘要,,
